fecha|hora|magnitud|profundidad|provincia
2018/07/03|06:17:46|3.3|6.33|Galapagos 
2018/07/03|00:31:49|3.4|7.18|Galapagos 
2018/07/02|20:35:15|2.9|2.55|Galapagos 
2018/07/02|17:13:14|3|5.21|Galapagos 
2018/07/02|17:07:28|2.9|5.00|Galapagos 
2018/07/02|11:56:50|3.1|-0.54|Galapagos 
2018/07/02|06:04:33|3.5|3.00|Galapagos 
2018/07/01|10:10:52|2.8|10.08|Galapagos 
2018/06/30|22:23:33|3.1|4.12|Galapagos 
2018/06/30|21:25:48|2.9|13.60|Galapagos 
2018/06/30|21:23:46|4.2|12.17|Galapagos 
2018/06/30|09:05:00|3.1|5.00|Galapagos 
2018/06/30|08:43:15|3|8.66|Galapagos 
2018/06/30|07:26:46|3.6|9.54|Galapagos 
2018/06/30|05:34:29|3|5.00|Galapagos 
2018/06/30|04:22:15|2.7|5.91|Galapagos 
2018/06/30|01:57:56|2.7|5.00|Galapagos 
2018/06/29|23:23:31|2.7|8.52|Galapagos 
2018/06/29|21:34:01|3|9.86|Galapagos 
2018/06/29|21:16:59|2.7|4.35|Galapagos 
2018/06/29|18:53:49|3.2|2.00|Galapagos 
2018/06/29|14:51:52|2.7|8.61|Galapagos 
2018/06/29|12:16:04|3.1|-0.90|Galapagos 
2018/06/29|08:55:07|2.7|-1.55|Galapagos 
2018/06/29|08:53:03|2.9|-0.73|Galapagos 
2018/06/29|05:07:55|4.6|5.43|Galapagos 
2018/06/29|01:34:32|3.6|5.85|Galapagos 
2018/06/29|00:50:29|3|5.00|Galapagos 
2018/06/28|20:42:53|3|15.30|Galapagos 
2018/06/28|15:18:21|3.2|5.00|Galapagos 
2018/06/28|13:08:03|3.4|7.17|Galapagos 
2018/06/28|13:05:20|3.1|7.45|Galapagos 
2018/06/28|11:55:28|2.9|1.87|Galapagos 
2018/06/28|11:48:09|2.7|-1.42|Galapagos 
2018/06/28|10:16:41|2.8|-1.00|Galapagos 
2018/06/28|07:24:31|3|3.00|Galapagos 
2018/06/28|08:08:37|3.2|3.90|Galapagos 
2018/06/28|04:19:06|3.7|8.46|Galapagos 
2018/06/28|02:50:21|3.6|7.52|Galapagos 
2018/06/28|00:12:10|4.1|2.71|Galapagos 
2018/06/27|22:54:16|3.6|6.61|Galapagos 
2018/06/27|22:50:38|2.9|1.60|Galapagos 
2018/06/27|22:46:02|2.8|3.34|Galapagos 
2018/06/27|18:37:43|2.7|8.45|Galapagos 
