fecha|contenido
Fri Oct 26 04:15:11 COT 2018|#SISMO ID: igepn2018uzed Preliminar 2018-10-26 04:11:51 TL Magnitud:4.24 Profundidad: 184.89 km, a 16.67km de Puyo,Pastaza,Latitud: -1.6186 Longitud:-78.0833 Sintio este sismo? Reportelo! en https://t.co/xpJwiNKcth https://t.co/9oOrFbLnQ6
Fri Oct 26 04:13:54 COT 2018|#SISMO ID: igepn2018uzec Preliminar 2018-10-26 04:10:46 TL Magnitud:4.05 Profundidad: 10.00 km, a 36.60km de Pillaro,Tungurahua,Latitud: -1.1036 Longitud:-78.2222 Sintio este sismo? Reportelo! en https://t.co/mk2y3dXVDv https://t.co/3ro12yaVQ7
Sun Oct 21 23:44:44 COT 2018|#SISMO ID: igepn2018urmt Revisado 2018-10-21 23:32:11 TL Magnitud:4.89 Profundidad: 9.62 km, a 59.07km de Muisne,Esmeraldas,Latitud: 0.8446 Longitud:-80.4979 Sintio este sismo? Reportelo! en https://t.co/qSRAJXcddc https://t.co/DfZCQgNDWl
Sun Oct 21 23:38:16 COT 2018|#SISMO ID: igepn2018urmt Preliminar 2018-10-21 23:32:11 TL Magnitud:4.94 Profundidad: 4.39 km, a 55.64km de Muisne,Esmeraldas,Latitud: 0.8217 Longitud:-80.4747 Sintio este sismo? Reportelo! en https://t.co/qSRAJXcddc https://t.co/6zwOfidXb1
Sun Oct 21 16:15:50 COT 2018|#SISMO ID: igepn2018uqyg Revisado 2018-10-21 16:08:56 TL Magnitud:5.61 Profundidad: 29.99 km, a 6.38km de Isidro Ayora,Guayas,Latitud: -1.9160 Longitud:-80.1934 Sintio este sismo? Reportelo! en https://t.co/bdhAT767B0 https://t.co/7o59RxChIg
Sun Oct 21 16:12:25 COT 2018|#SISMO ID: igepn2018uqyg Preliminar 2018-10-21 16:08:56 TL Magnitud:5.58 Profundidad: 28.67 km, a 4.53km de Isidro Ayora,Guayas,Latitud: -1.9132 Longitud:-80.1743 Sintio este sismo? Reportelo! en https://t.co/bdhAT7nIZA https://t.co/Hrf6wZ2zRk
Sun Oct 21 10:48:54 COT 2018|#SISMO ID: igepn2018uqnk Revisado 2018-10-21 10:40:25 TL Magnitud:3.92 Profundidad: 17.70 km, a 14.27km de Atacames,Esmeraldas,Latitud: 0.9911 Longitud:-79.8102 Sintio este sismo? Reportelo! en https://t.co/vucS9UWOmf https://t.co/mP1x4D0efj
Sun Oct 21 10:43:51 COT 2018|#SISMO ID: igepn2018uqnk Preliminar 2018-10-21 10:40:26 TL Magnitud:3.89 Profundidad: 5.00 km, a 17.00km de Esmeraldas,Esmeraldas,Latitud: 0.8161 Longitud:-79.6668 Sintio este sismo? Reportelo! en https://t.co/vucS9UWOmf https://t.co/u22KMEGokT
Sat Oct 20 22:39:14 COT 2018|#SISMO ID: igepn2018uppk Revisado 2018-10-20 22:31:40 TL Magnitud:3.65 Profundidad: 57.75 km, a 47.22km de Macara,Loja,Latitud: -4.0919 Longitud:-80.2525 Sintio este sismo? Reportelo! en https://t.co/UKwh1EJvWB https://t.co/wJs23ajOFk
Sat Oct 20 22:35:26 COT 2018|#SISMO ID: igepn2018uppk Preliminar 2018-10-20 22:31:41 TL Magnitud:3.51 Profundidad: 55.75 km, a 40.36km de Macara,Loja,Latitud: -4.1051 Longitud:-80.1782 Sintio este sismo? Reportelo! en https://t.co/UKwh1EJvWB https://t.co/Zj8RcAUhsl
Fri Oct 19 02:15:00 COT 2018|#SISMO ID: igepn2018umfc Revisado 2018-10-19 01:56:15 TL Magnitud:3.47 Profundidad: 25.79 km, a 32.24km de Velasco Ibarra,Guayas,Latitud: -0.7893 Longitud:-79.7680 Sintio este sismo? Reportelo! en https://t.co/L3rir7ZMMk https://t.co/pQ5gop0fak
Fri Oct 19 01:59:31 COT 2018|#SISMO ID: igepn2018umfc Preliminar 2018-10-19 01:56:15 TL Magnitud:3.61 Profundidad: 40.81 km, a 26.49km de Chone,Manabi,Latitud: -0.7899 Longitud:-79.8836 Sintio este sismo? Reportelo! en https://t.co/L3rir7ZMMk https://t.co/iTZDtUVw9I
Thu Oct 18 07:23:50 COT 2018|#SISMO ID: igepn2018ukuc Revisado 2018-10-18 07:12:56 TL Magnitud:4.22 Profundidad: 30.51 km, a 12.04km de Isidro Ayora,Guayas,Latitud: -1.9922 Longitud:-80.1387 Sintio este sismo? Reportelo! en https://t.co/L8QL5ADFDX https://t.co/GKj5uO2GB0
Thu Oct 18 07:16:21 COT 2018|#SISMO ID: igepn2018ukuc Preliminar 2018-10-18 07:12:55 TL Magnitud:3.73 Profundidad: 10.24 km, a 2.97km de Isidro Ayora,Guayas,Latitud: -1.8895 Longitud:-80.1719 Sintio este sismo? Reportelo! en https://t.co/L8QL5ADFDX https://t.co/F9egNrlUIP
Thu Oct 18 06:15:11 COT 2018|#SISMO ID: igepn2018ukon Revisado 2018-10-18 04:25:59 TL Magnitud:4.20 Profundidad: 20.00 km, a 366.66km de Cariamanga,Loja,Latitud: -7.5653 Longitud:-78.9277 Sintio este sismo? Reportelo! en https://t.co/dHVFPYSBAY https://t.co/NW8Eb5L3eB
Thu Oct 18 00:55:51 COT 2018|#SISMO ID: igepn2018ukhn Preliminar 2018-10-18 00:52:22 TL Magnitud:3.53 Profundidad: 2.33 km, a 16.98km de Jama,Manabi,Latitud: -0.0494 Longitud:-80.2612 Sintio este sismo? Reportelo! en https://t.co/OPYqhXR8IM https://t.co/1YZWhzTK7u
Wed Oct 17 06:56:34 COT 2018|#SISMO ID: igepn2018uixv Revisado 2018-10-17 06:50:58 TL Magnitud:3.83 Profundidad: 43.42 km, a 16.43km de Pasaje,El Oro,Latitud: -3.3485 Longitud:-79.6594 Sintio este sismo? Reportelo! en https://t.co/A6pVygsEOd https://t.co/UDoHSsilMH
Wed Oct 17 06:54:17 COT 2018|#SISMO ID: igepn2018uixv Preliminar 2018-10-17 06:50:58 TL Magnitud:3.68 Profundidad: 41.16 km, a 12.33km de Pasaje,El Oro,Latitud: -3.3359 Longitud:-79.6951 Sintio este sismo? Reportelo! en https://t.co/A6pVygsEOd https://t.co/BujzCPPgjx
